collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
Cobra,ca64,188291.98,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Esta,ES09 BLACK,187447.98,Geometric,Yarn Dyed,Multi Level Loop & Tip Shear,PVC Free,,,,,,,Carpet
Plains one + 1,131951,182194.11,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Vera,VR04 BLUE,181480.19,Organic,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Cobra,ca55,179683.09,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52988,177862.41,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Plains one + 1,131943,176817,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Brushstrokes,Y47053,172982.65,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca52,158978.15,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca23,148572.58,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Color Cube,CC01 CHARCOAL,147392.48,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
Color Cube,CC04 WOOD,146746.09,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
Nashira,nai5614,143827.72,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52985,136704.35,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua105,129717.25,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Color Cube,CC02 GRANITE,128796.02,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
Jungle,jua313,127169.5,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30400666,127061.89,Embroidery,,,,,,,,Curtain,70% Viscose - 30 % Linen - Viscose Embroidery,Fabric
Vera,VR02 GREY,126834,Organic,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Chimes,AZ52992,121964.76,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52977,119629.55,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52825,117144.8,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
NOX Vinyl,GD-5120,114949.35,Oak,,,,Vinyl Flooring,Oak,European Oak Golden,,,,Flooring
Milano,Milano Hunter,113234.12,,,,,,,,,Upholstery,100% Leather,Fabric
Jungle,jua224,113005.8,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Color Cube,CC06 BEIGE,111654.35,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
Shalimar,sha6215,110282.5,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Leedon,LN06 CHOCOLATE,109971.88,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
geff Laminate,GGLF002,109584.79,Walnut,,,,Laminate Flooring,Walnut,Sawn Walnut,,,,Flooring
Fraser II,FR4806 RUSTIC BROWN,106778.4,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Soprano,SO05 WATERFALL,100543.1,Stripes,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Soprano,SO06 ORCHID,98437.26,Stripes,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Jungle,jua106,98016.89,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Milano,Milano Fig,97264.54,,,,,,,,,Upholstery,100% Leather,Fabric
